onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,source,min_education
45-2011.00,Agricultural Inspectors,Agriculture,Science,R,C,"Quality Control Analysis, Active Listening, Monitoring, Reading Comprehension, Critical Thinking, Speaking",onet,Bachelor's or equivalent
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Learning Strategies, Reading Comprehension, Speaking, Active Learning, Active Listening",onet,Bachelor's or equivalent
19-4012.00,Agricultural Technicians,Research & Science,Science,R,I,"Reading Comprehension, Active Listening, Critical Thinking, Active Learning, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
53-2021.00,Air Traffic Controllers,Logistics & Transport,Vocational,C,R,"Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Complex Problem Solving, Monitoring",onet,Bachelor's or equivalent
53-1041.00,Aircraft Cargo Handling Supervisors,Logistics & Transport,Vocational,E,C,"Critical Thinking, Management of Personnel Resources, Active Listening, Monitoring, Speaking, Time Management",onet,Bachelor's or equivalent
49-3011.00,Aircraft Mechanics and Service Technicians,Maintenance & Repair,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Operations Monitoring, Reading Comprehension, Critical Thinking",onet,Bachelor's or equivalent
53-6032.00,Aircraft Service Attendants,Logistics & Transport,Vocational,R,C,,onet,Bachelor's or equivalent
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Manufacturing,Vocational,R,C,"Quality Control Analysis, Active Listening, Critical Thinking, Monitoring, Complex Problem Solving, Equipment Maintenance",onet,Bachelor's or equivalent
53-2022.00,Airfield Operations Specialists,Logistics & Transport,Vocational,C,R,"Active Listening, Monitoring, Coordination, Critical Thinking, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Critical Thinking, Monitoring, Judgment and Decision Making",onet,Bachelor's or equivalent
29-1229.01,Allergists and Immunologists,Healthcare,Science,I,S,"Reading Comprehension, Active Listening, Critical Thinking, Judgment and Decision Making, Writing, Active Learning",onet,Bachelor's or equivalent
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Logistics & Transport,Vocational,R,S,"Critical Thinking, Service Orientation, Active Listening, Active Learning, Reading Comprehension, Social Perceptiveness",onet,Bachelor's or equivalent
29-1071.01,Anesthesiologist Assistants,Healthcare,Science,C,S,"Active Listening, Monitoring, Reading Comprehension, Critical Thinking, Judgment and Decision Making, Speaking",onet,Bachelor's or equivalent
29-1211.00,Anesthesiologists,Healthcare,Science,I,S,"Critical Thinking, Active Listening, Judgment and Decision Making, Monitoring, Complex Problem Solving, Reading Comprehension",onet,Bachelor's or equivalent
45-2021.00,Animal Breeders,Agriculture,Science,R,C,"Critical Thinking, Active Learning, Active Listening, Complex Problem Solving, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
39-2021.00,Animal Caretakers,Personal Services,Vocational,R,S,"Monitoring, Active Listening, Coordination, Judgment and Decision Making, Reading Comprehension, Service Orientation",onet,Bachelor's or equivalent
33-9011.00,Animal Control Workers,Public Safety,Vocational,R,C,"Active Listening, Speaking, Critical Thinking, Coordination, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
19-1011.00,Animal Scientists,Research & Science,Science,I,R,"Reading Comprehension, Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Science, Writing",onet,Bachelor's or equivalent
39-2011.00,Animal Trainers,Personal Services,Vocational,R,S,"Instructing, Learning Strategies, Speaking, Critical Thinking, Active Learning, Active Listening",onet,Bachelor's or equivalent
19-3091.00,Anthropologists and Archeologists,Research & Science,Science,I,A,"Speaking, Writing, Active Listening, Critical Thinking, Reading Comprehension, Active Learning",onet,Bachelor's or equivalent
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Reading Comprehension, Writing, Instructing, Active Listening, Learning Strategies",onet,Bachelor's or equivalent
13-2023.00,Appraisers and Assessors of Real Estate,Finance,Commerce,C,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Writing, Complex Problem Solving",onet,Bachelor's or equivalent
13-2022.00,Appraisers of Personal and Business Property,Finance,Commerce,C,E,"Reading Comprehension, Critical Thinking, Writing, Active Listening, Speaking, Active Learning",onet,Bachelor's or equivalent
23-1022.00,"Arbitrators, Mediators, and Conciliators",Legal Services,Commerce,E,C,"Negotiation, Active Listening, Writing, Reading Comprehension, Speaking, Critical Thinking",onet,Bachelor's or equivalent
17-1011.00,"Architects, Except Landscape and Naval",Engineering,Science,R,C,"Critical Thinking, Operations Analysis, Reading Comprehension, Speaking, Active Listening, Writing",onet,Bachelor's or equivalent
17-3011.00,Architectural and Civil Drafters,Engineering,Science,R,C,"Reading Comprehension, Complex Problem Solving, Systems Analysis, Active Learning, Critical Thinking, Writing",onet,Bachelor's or equivalent
11-9041.00,Architectural and Engineering Managers,Management,Commerce,E,I,"Reading Comprehension, Active Listening, Complex Problem Solving, Speaking, Writing, Active Learning",onet,Bachelor's or equivalent
25-1031.00,"Architecture Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Learning Strategies, Reading Comprehension, Speaking, Active Listening, Writing",onet,Bachelor's or equivalent
25-4011.00,Archivists,Education,Arts,C,I,"Reading Comprehension, Active Listening, Writing, Speaking, Active Learning, Critical Thinking",onet,Bachelor's or equivalent
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Education,Arts,S,I,"Reading Comprehension, Instructing, Speaking, Active Learning, Active Listening, Learning Strategies",onet,Bachelor's or equivalent
27-1011.00,Art Directors,Creative Arts,Arts,A,E,"Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Complex Problem Solving",onet,Bachelor's or equivalent
29-1129.01,Art Therapists,Healthcare,Science,S,A,"Social Perceptiveness, Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Education,Arts,S,A,"Speaking, Instructing, Learning Strategies, Active Learning, Active Listening, Reading Comprehension",onet,Bachelor's or equivalent
19-2011.00,Astronomers,Research & Science,Science,I,R,"Reading Comprehension, Science, Critical Thinking, Mathematics, Writing, Active Learning",onet,Bachelor's or equivalent
27-2021.00,Athletes and Sports Competitors,Creative Arts,Arts,R,E,"Speaking, Active Listening, Critical Thinking, Coordination, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
29-9091.00,Athletic Trainers,Healthcare,Science,S,R,"Active Listening, Critical Thinking, Judgment and Decision Making, Monitoring, Speaking, Active Learning",onet,Bachelor's or equivalent
19-2021.00,Atmospheric and Space Scientists,Research & Science,Science,I,R,"Reading Comprehension, Active Learning, Active Listening, Critical Thinking, Science, Speaking",onet,Bachelor's or equivalent
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Active Listening, Critical Thinking, Instructing, Reading Comprehension, Science",onet,Bachelor's or equivalent
27-4011.00,Audio and Video Technicians,Creative Arts,Arts,R,C,"Monitoring, Critical Thinking, Operations Monitoring, Reading Comprehension, Complex Problem Solving, Active Listening",onet,Bachelor's or equivalent
29-1181.00,Audiologists,Healthcare,Science,I,S,"Active Listening, Reading Comprehension, Active Learning, Critical Thinking, Social Perceptiveness, Speaking",onet,Bachelor's or equivalent
49-2097.00,Audiovisual Equipment Installers and Repairers,Maintenance & Repair,Vocational,R,C,"Quality Control Analysis, Repairing, Troubleshooting, Complex Problem Solving, Equipment Maintenance, Installation",onet,Bachelor's or equivalent
53-6031.00,Automotive and Watercraft Service Attendants,Logistics & Transport,Vocational,R,C,"Active Listening, Operation and Control, Service Orientation, Speaking, Time Management, Complex Problem Solving",onet,Bachelor's or equivalent
49-3021.00,Automotive Body and Related Repairers,Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Active Listening, Critical Thinking, Monitoring, Operations Monitoring",onet,Bachelor's or equivalent
17-3027.01,Automotive Engineering Technicians,Engineering,Science,R,I,"Reading Comprehension, Critical Thinking, Speaking, Active Listening, Complex Problem Solving, Operations Monitoring",onet,Bachelor's or equivalent
17-2141.02,Automotive Engineers,Engineering,Science,R,I,"Complex Problem Solving, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Mathematics, Speaking",onet,Bachelor's or equivalent
49-3022.00,Automotive Glass Installers and Repairers,Maintenance & Repair,Vocational,R,C,"Installation, Equipment Selection, Speaking",onet,Bachelor's or equivalent
49-3023.00,Automotive Service Technicians and Mechanics,Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Critical Thinking, Operations Monitoring, Equipment Maintenance, Active Listening",onet,Bachelor's or equivalent
53-6051.01,Aviation Inspectors,Logistics & Transport,Vocational,C,R,"Critical Thinking, Active Listening, Reading Comprehension, Speaking, Operations Monitoring, Quality Control Analysis",onet,Bachelor's or equivalent
49-2091.00,Avionics Technicians,Maintenance & Repair,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Critical Thinking, Operations Monitoring, Quality Control Analysis",onet,Bachelor's or equivalent
51-3011.00,Bakers,Manufacturing,Vocational,R,C,"Monitoring, Active Learning, Active Listening, Coordination, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
39-5011.00,Barbers,Personal Services,Vocational,R,C,"Active Listening, Service Orientation, Social Perceptiveness, Speaking, Judgment and Decision Making",onet,Bachelor's or equivalent
49-3091.00,Bicycle Repairers,Maintenance & Repair,Vocational,R,C,"Repairing, Active Listening, Critical Thinking, Troubleshooting, Equipment Maintenance, Equipment Selection",onet,Bachelor's or equivalent
43-3011.00,Bill and Account Collectors,Administration,Commerce,C,E,"Active Listening, Speaking, Persuasion, Social Perceptiveness, Writing, Critical Thinking",onet,Bachelor's or equivalent
43-3021.00,Billing and Posting Clerks,Administration,Commerce,C,I,"Reading Comprehension, Mathematics, Active Listening, Critical Thinking, Monitoring, Speaking",onet,Bachelor's or equivalent
19-1021.00,Biochemists and Biophysicists,Research & Science,Science,I,R,"Science, Reading Comprehension, Critical Thinking, Writing, Active Learning, Active Listening",onet,Bachelor's or equivalent
17-2031.00,Bioengineers and Biomedical Engineers,Engineering,Science,I,R,"Active Listening, Reading Comprehension, Speaking, Writing, Complex Problem Solving, Critical Thinking",onet,Bachelor's or equivalent
51-8099.01,Biofuels Processing Technicians,Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Reading Comprehension, Monitoring, Quality Control Analysis, Active Listening",onet,Bachelor's or equivalent
11-3051.03,Biofuels Production Managers,Management,Commerce,E,C,"Critical Thinking, Management of Personnel Resources, Reading Comprehension, Active Listening, Monitoring, Coordination",onet,Bachelor's or equivalent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,Commerce,I,E,"Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Speaking, Systems Analysis",onet,Bachelor's or equivalent
19-1029.01,Bioinformatics Scientists,Research & Science,Science,I,C,"Critical Thinking, Reading Comprehension, Active Listening, Complex Problem Solving, Speaking, Writing",onet,Bachelor's or equivalent
15-2099.01,Bioinformatics Technicians,Technology,Science,I,C,"Reading Comprehension, Active Learning, Active Listening, Complex Problem Solving, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
25-1042.00,"Biological Science Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Instructing, Learning Strategies, Active Learning, Active Listening, Reading Comprehension",onet,Bachelor's or equivalent
19-4021.00,Biological Technicians,Research & Science,Science,C,R,"Reading Comprehension, Critical Thinking, Active Listening, Science, Active Learning, Writing",onet,Bachelor's or equivalent
19-1029.04,Biologists,Research & Science,Science,I,C,"Science, Reading Comprehension, Writing, Active Listening, Critical Thinking, Speaking",onet,Bachelor's or equivalent
51-8013.03,Biomass Plant Technicians,Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Monitoring, Critical Thinking, Judgment and Decision Making, Active Learning",onet,Bachelor's or equivalent
11-3051.04,Biomass Power Plant Managers,Management,Commerce,C,R,"Critical Thinking, Speaking, Active Listening, Monitoring, Reading Comprehension, Complex Problem Solving",onet,Bachelor's or equivalent
15-2041.01,Biostatisticians,Technology,Science,I,C,"Mathematics, Active Learning, Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Reading Comprehension",onet,Bachelor's or equivalent
15-1299.07,Blockchain Engineers,Technology,Science,C,I,,onet,Bachelor's or equivalent
47-2011.00,Boilermakers,Construction,Vocational,R,C,"Operations Monitoring, Operation and Control, Critical Thinking, Equipment Maintenance, Quality Control Analysis, Repairing",onet,Bachelor's or equivalent
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Administration,Commerce,C,E,"Mathematics, Active Listening, Critical Thinking, Reading Comprehension, Speaking, Writing",onet,Bachelor's or equivalent
47-2021.00,Brickmasons and Blockmasons,Construction,Vocational,R,C,"Coordination, Critical Thinking, Active Listening, Monitoring, Operations Monitoring, Quality Control Analysis",onet,Bachelor's or equivalent
53-6011.00,Bridge and Lock Tenders,Logistics & Transport,Vocational,R,C,"Monitoring, Active Listening, Coordination, Critical Thinking, Judgment and Decision Making, Operation and Control",onet,Bachelor's or equivalent
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Creative Arts,Arts,A,E,"Speaking, Active Listening, Reading Comprehension, Critical Thinking, Social Perceptiveness, Time Management",onet,Bachelor's or equivalent
27-4012.00,Broadcast Technicians,Creative Arts,Arts,C,R,"Critical Thinking, Active Listening, Monitoring, Operations Monitoring, Complex Problem Solving, Writing",onet,Bachelor's or equivalent
43-4011.00,Brokerage Clerks,Administration,Commerce,C,E,"Active Listening, Speaking, Reading Comprehension, Time Management, Critical Thinking, Monitoring",onet,Bachelor's or equivalent
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Management,Commerce,C,E,"Complex Problem Solving, Coordination, Critical Thinking, Judgment and Decision Making, Monitoring, Reading Comprehension",onet,Bachelor's or equivalent
13-2031.00,Budget Analysts,Finance,Commerce,C,E,"Critical Thinking, Mathematics, Active Listening, Complex Problem Solving, Judgment and Decision Making, Reading Comprehension",onet,Bachelor's or equivalent
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Operations Monitoring, Equipment Maintenance, Critical Thinking, Quality Control Analysis",onet,Bachelor's or equivalent
53-3051.00,"Bus Drivers, School",Logistics & Transport,Vocational,R,C,"Active Listening, Critical Thinking, Monitoring, Social Perceptiveness, Operations Monitoring, Speaking",onet,Bachelor's or equivalent
53-3052.00,"Bus Drivers, Transit and Intercity",Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Critical Thinking, Service Orientation, Time Management",onet,Bachelor's or equivalent
13-1199.04,Business Continuity Planners,Finance,Commerce,E,C,"Active Listening, Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Active Learning, Reading Comprehension",onet,Bachelor's or equivalent
15-2051.01,Business Intelligence Analysts,Technology,Science,C,I,"Reading Comprehension, Active Learning, Active Listening, Critical Thinking, Speaking, Writing",onet,Bachelor's or equivalent
25-1011.00,"Business Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Instructing, Active Listening, Learning Strategies, Reading Comprehension, Writing",onet,Bachelor's or equivalent
51-3021.00,Butchers and Meat Cutters,Manufacturing,Vocational,R,C,"Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Service Orientation, Social Perceptiveness",onet,Bachelor's or equivalent
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Finance,Commerce,E,C,"Critical Thinking, Speaking, Active Listening, Judgment and Decision Making, Negotiation, Persuasion",onet,Bachelor's or equivalent
51-7011.00,Cabinetmakers and Bench Carpenters,Manufacturing,Vocational,R,C,"Operations Monitoring, Quality Control Analysis, Monitoring, Operation and Control, Critical Thinking, Equipment Selection",onet,Bachelor's or equivalent
17-3028.00,Calibration Technologists and Technicians,Engineering,Science,R,C,,onet,Bachelor's or equivalent
49-9061.00,Camera and Photographic Equipment Repairers,Maintenance & Repair,Vocational,R,C,"Troubleshooting, Repairing, Critical Thinking, Equipment Maintenance, Quality Control Analysis, Active Listening",onet,Bachelor's or equivalent
27-4031.00,"Camera Operators, Television, Video, and Film",Creative Arts,Arts,A,R,"Active Listening, Coordination, Judgment and Decision Making, Reading Comprehension, Speaking, Critical Thinking",onet,Bachelor's or equivalent
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Logistics & Transport,Vocational,R,C,"Operation and Control, Monitoring, Speaking, Active Listening, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
29-1212.00,Cardiologists,Healthcare,Science,I,R,,onet,Bachelor's or equivalent
29-2031.00,Cardiovascular Technologists and Technicians,Healthcare,Science,R,I,"Active Listening, Critical Thinking, Monitoring, Operations Monitoring, Speaking, Reading Comprehension",onet,Bachelor's or equivalent
25-2023.00,"Career/Technical Education Teachers, Middle School",Education,Arts,S,I,"Speaking, Active Listening, Instructing, Learning Strategies, Reading Comprehension, Critical Thinking",onet,Bachelor's or equivalent
25-1194.00,"Career/Technical Education Teachers, Postsecondary",Education,Arts,S,I,"Active Listening, Instructing, Learning Strategies, Active Learning, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
25-2032.00,"Career/Technical Education Teachers, Secondary School",Education,Arts,S,I,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking, Critical Thinking",onet,Bachelor's or equivalent
43-5011.00,Cargo and Freight Agents,Administration,Commerce,C,E,"Speaking, Active Listening, Critical Thinking, Reading Comprehension, Negotiation, Time Management",onet,Bachelor's or equivalent
47-2031.00,Carpenters,Construction,Vocational,R,C,"Active Listening, Critical Thinking, Monitoring, Coordination, Quality Control Analysis, Reading Comprehension",onet,Bachelor's or equivalent
47-2041.00,Carpet Installers,Construction,Vocational,R,C,"Coordination, Monitoring, Critical Thinking, Mathematics, Quality Control Analysis, Time Management",onet,Bachelor's or equivalent
17-1021.00,Cartographers and Photogrammetrists,Engineering,Science,C,I,"Reading Comprehension, Critical Thinking, Writing, Active Listening, Active Learning, Complex Problem Solving",onet,Bachelor's or equivalent
47-2051.00,Cement Masons and Concrete Finishers,Construction,Vocational,R,C,"Monitoring, Coordination, Quality Control Analysis, Speaking, Time Management, Active Listening",onet,Bachelor's or equivalent
35-1011.00,Chefs and Head Cooks,Hospitality,Vocational,E,R,"Coordination, Monitoring, Management of Personnel Resources, Social Perceptiveness, Speaking, Time Management",onet,Bachelor's or equivalent
17-2041.00,Chemical Engineers,Engineering,Science,R,I,"Critical Thinking, Science, Complex Problem Solving, Reading Comprehension, Active Learning, Judgment and Decision Making",onet,Bachelor's or equivalent
51-9011.00,Chemical Equipment Operators and Tenders,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Monitoring, Active Listening, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
51-8091.00,Chemical Plant and System Operators,Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Monitoring, Quality Control Analysis, Critical Thinking, Active Listening",onet,Bachelor's or equivalent
19-4031.00,Chemical Technicians,Research & Science,Science,I,R,"Science, Critical Thinking, Reading Comprehension, Active Listening, Monitoring, Writing",onet,Bachelor's or equivalent
25-1052.00,"Chemistry Teachers, Postsecondary",Education,Arts,I,S,"Reading Comprehension, Speaking, Writing, Active Learning, Active Listening, Critical Thinking",onet,Bachelor's or equivalent
19-2031.00,Chemists,Research & Science,Science,I,R,"Science, Critical Thinking, Reading Comprehension, Speaking, Active Listening, Mathematics",onet,Bachelor's or equivalent
11-1011.00,Chief Executives,Management,Commerce,E,C,"Judgment and Decision Making, Complex Problem Solving, Critical Thinking, Coordination, Management of Financial Resources, Management of Personnel Resources",onet,Bachelor's or equivalent
11-1011.03,Chief Sustainability Officers,Management,Commerce,E,I,"Critical Thinking, Writing, Active Listening, Complex Problem Solving, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
21-1021.00,"Child, Family, and School Social Workers",Social Service,Arts,S,I,"Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Judgment and Decision Making, Reading Comprehension",onet,Bachelor's or equivalent
29-1011.00,Chiropractors,Healthcare,Science,S,R,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Social Perceptiveness, Writing",onet,Bachelor's or equivalent
27-2032.00,Choreographers,Creative Arts,Arts,A,S,"Instructing, Active Listening, Coordination, Speaking, Monitoring, Learning Strategies",onet,Bachelor's or equivalent
17-3022.00,Civil Engineering Technologists and Technicians,Engineering,Science,R,I,"Critical Thinking, Active Listening, Reading Comprehension, Mathematics, Speaking, Monitoring",onet,Bachelor's or equivalent
17-2051.00,Civil Engineers,Engineering,Science,R,I,"Active Listening, Complex Problem Solving, Critical Thinking, Mathematics, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Finance,Commerce,C,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making, Writing",onet,Bachelor's or equivalent
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring",onet,Bachelor's or equivalent
21-2011.00,Clergy,Social Service,Arts,S,E,"Speaking, Active Listening, Social Perceptiveness, Instructing, Service Orientation, Judgment and Decision Making",onet,Bachelor's or equivalent
19-2041.01,Climate Change Policy Analysts,Research & Science,Science,I,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Writing, Active Learning",onet,Bachelor's or equivalent
19-3033.00,Clinical and Counseling Psychologists,Research & Science,Science,S,I,"Reading Comprehension, Social Perceptiveness, Active Listening, Critical Thinking, Writing, Speaking",onet,Bachelor's or equivalent
15-2051.02,Clinical Data Managers,Technology,Science,C,I,"Critical Thinking, Active Listening, Reading Comprehension, Speaking, Writing, Active Learning",onet,Bachelor's or equivalent
19-3039.03,Clinical Neuropsychologists,Research & Science,Science,I,S,"Active Listening, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Social Perceptiveness, Complex Problem Solving",onet,Bachelor's or equivalent
29-1141.04,Clinical Nurse Specialists,Healthcare,Science,S,I,"Speaking, Active Learning, Critical Thinking, Judgment and Decision Making, Monitoring, Reading Comprehension",onet,Bachelor's or equivalent
11-9121.01,Clinical Research Coordinators,Management,Commerce,I,C,"Active Listening, Reading Comprehension, Writing, Coordination, Speaking, Critical Thinking",onet,Bachelor's or equivalent
27-2022.00,Coaches and Scouts,Creative Arts,Arts,S,E,"Instructing, Speaking, Learning Strategies, Monitoring, Active Listening, Critical Thinking",onet,Bachelor's or equivalent
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Manufacturing,Vocational,R,C,"Operations Monitoring, Monitoring, Operation and Control, Quality Control Analysis, Equipment Maintenance, Repairing",onet,Bachelor's or equivalent
51-2021.00,"Coil Winders, Tapers, and Finishers",Manufacturing,Vocational,R,C,"Monitoring, Operations Monitoring, Active Listening, Operation and Control",onet,Bachelor's or equivalent
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Maintenance & Repair,Vocational,R,C,"Repairing, Equipment Maintenance, Troubleshooting, Operation and Control, Operations Monitoring, Quality Control Analysis",onet,Bachelor's or equivalent
27-1021.00,Commercial and Industrial Designers,Creative Arts,Arts,A,R,"Active Listening, Reading Comprehension, Complex Problem Solving, Critical Thinking, Speaking, Judgment and Decision Making",onet,Bachelor's or equivalent
49-9092.00,Commercial Divers,Maintenance & Repair,Vocational,R,I,"Critical Thinking, Active Listening, Operations Monitoring, Speaking, Quality Control Analysis, Operation and Control",onet,Bachelor's or equivalent
53-2012.00,Commercial Pilots,Logistics & Transport,Vocational,C,R,"Operation and Control, Operations Monitoring, Monitoring, Critical Thinking, Active Listening, Judgment and Decision Making",onet,Bachelor's or equivalent
25-1122.00,"Communications Teachers, Postsecondary",Education,Arts,S,I,"Active Listening, Instructing, Reading Comprehension, Speaking, Active Learning, Learning Strategies",onet,Bachelor's or equivalent
21-1094.00,Community Health Workers,Social Service,Arts,S,I,"Active Listening, Social Perceptiveness, Speaking, Writing, Reading Comprehension, Service Orientation",onet,Bachelor's or equivalent
11-3111.00,Compensation and Benefits Managers,Management,Commerce,E,C,"Active Listening, Reading Comprehension, Speaking, Writing, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
