nco_id,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,source,min_education
IND-AGR-001,Agricultural Officer (State Government),Agriculture,Science,I,R,"Crop Science, Soil Management, Extension Services, Agri Policy, Field Inspection, Farmer Counselling",State Agriculture Department / IBPS AFO,B.Sc Agriculture + State Agri Services Exam
IND-AGR-002,Horticulture Officer,Agriculture,Science,I,R,"Fruit Crop Management, Vegetable Cultivation, Post-Harvest Technology, Protected Cultivation, Nursery, GIS",State Horticulture Department,B.Sc Horticulture + State Recruitment
IND-AGR-003,Krishi Vigyan Kendra (KVK) Scientist,Agricultural Research,Science,I,S,"Technology Transfer, Farmer Training, Field Demonstrations, Research, Extension Communication, Documentation",ICAR,M.Sc Agriculture + ICAR NET
IND-MED-010,AIR / Doordarshan Programme Producer,Government Media,Arts,A,E,"Programme Production, Scripting, Direction, Audio/Video Editing, Broadcast Standards, Public Communication",Prasar Bharati / UPSC,Bachelor's + Prasar Bharati Recruitment
IND-MED-011,OTT Content Creator / Digital Filmmaker,Digital Media,Arts,A,E,"Screenplay Writing, Video Production, Editing (Premiere/DaVinci), Social Media, Storytelling, Brand Collaboration",Industry (emerging role),Diploma/Bachelor's in Film/Media
IND-MED-012,UX/UI Designer,Technology,Arts,A,I,"Figma, User Research, Wireframing, Prototyping, Design Thinking, Usability Testing",Industry,Bachelor's/Diploma in Design or equivalent
IND-TEC-001,DevOps Engineer,Technology,Science,I,R,"CI/CD Pipelines, Docker, Kubernetes, AWS/Azure, Linux, Infrastructure as Code",Industry (NASSCOM),B.Tech/B.E. or equivalent
IND-TEC-002,Data Analyst,Technology,Science,I,C,"Python/R, SQL, Power BI, Excel, Statistical Analysis, Data Visualization, Business Insights",Industry (NASSCOM),Bachelor's in any quantitative field
IND-TEC-003,Cybersecurity Analyst,Technology,Science,I,R,"Network Security, SIEM Tools, Ethical Hacking, VAPT, CEH/CISSP, Incident Response",Industry / CERT-In,B.Tech/B.E. + Certifications
IND-TEC-004,AI/ML Engineer,Technology,Science,I,R,"Python, TensorFlow/PyTorch, Machine Learning, Deep Learning, Data Pipelines, Model Deployment",Industry (NASSCOM),B.Tech/M.Tech in CS/AI or equivalent
IND-TEC-005,Cloud Solutions Architect,Technology,Science,I,E,"AWS/Azure/GCP, Solution Design, Microservices, Cost Optimisation, Security Architecture, Enterprise Architecture",Industry,B.Tech + Cloud Certifications
IND-COM-001,GST Practitioner,Taxation,Commerce,C,E,"GST Law, GSTN Portal, Return Filing, Input Tax Credit, GST Audit, Client Advisory",CBIC / GST Council,B.Com + GST Practitioner Enrollment
IND-COM-002,AMFI Registered Mutual Fund Distributor,Finance,Commerce,E,C,"Mutual Fund Products, NISM Certification, Financial Planning, Client Acquisition, Risk Profiling, SEBI Compliance",AMFI / SEBI,10+2 + NISM VA Certification
IND-COM-003,E-commerce Manager (India market),Digital Commerce,Commerce,E,C,"Amazon/Flipkart Seller Central, Catalogue Management, Digital Marketing, Inventory Planning, Pricing Strategy, Analytics",Industry,Bachelor's in Business/Marketing
IND-SPT-001,Sports Coach (SAI / State Academy),Sports,Vocational,S,R,"Sport-Specific Training, Coaching Methodology, Fitness Planning, NIS Diploma, Sports Science, Athlete Development",SAI / NIS Patiala,NIS Diploma or B.P.Ed
IND-SPT-002,Sports Physiotherapist,Sports Medicine,Science,S,R,"Injury Assessment, Sports Rehabilitation, Taping and Bracing, Exercise Prescription, Anatomy, Athlete Management",IAP / SAI,B.P.T + Sports Physiotherapy Specialisation
IND-DES-001,Architect (COA Registered),Architecture,Science,A,R,"AutoCAD, Revit, Building Codes (NBC), Site Planning, Structural Coordination, NATA/JEE Paper 2",Council of Architecture (COA),B.Arch (5 years) + COA Registration
IND-DES-002,Industrial / Product Designer,Design,Arts,A,R,"SolidWorks, Sketching, Ergonomics, Prototyping, CAID, Manufacturing Processes, UCEED/NID Entrance",NID / NIFT / IIT Design Programs,B.Des + NID/UCEED Entrance
IND-ENG-001,GATE Qualified PSU Engineer (ONGC/BHEL/NTPC),Engineering,Science,R,I,"Core Engineering, GATE Exam, PSU Interview, Technical Problem Solving, Safety Standards, Project Execution",GATE / PSU Recruitment,B.Tech/B.E. + GATE Score
IND-ENG-002,ISRO Scientist / Engineer,Space & Research,Science,I,R,"Aerospace Engineering, Electronics, Computer Science, Research Methodology, ISRO ICRB Exam, Technical Writing",ISRO / ICRB,B.Tech in relevant engineering + ICRB
IND-ENG-003,DRDO Scientist,Defence Research,Science,I,R,"Defence Technology, R&D, Weapons Systems, Project Management, Technical Documentation, CEPTAM Exam",DRDO / CEPTAM,B.Tech/M.Tech + DRDO CEPTAM Exam
IND-PMD-001,Optometrist (B.Optom),Healthcare,Science,S,I,"Vision Testing, Refraction, Contact Lens Fitting, Low Vision Aids, Optical Equipment, Patient Communication",AICO / State Paramedical Boards,D.Optom (2 years) or B.Optom (4 years)
IND-PMD-002,Medical Laboratory Technologist (B.Sc MLT),Healthcare,Science,I,R,"Haematology, Biochemistry, Microbiology, Blood Banking, Quality Control, NABL Standards",AICTE / State Paramedical Boards,B.Sc MLT (3 years)
IND-PMD-003,Operation Theatre Technician (OTT),Healthcare,Science,R,S,"Surgical Instrument Sterilisation, OT Setup, Anaesthesia Assistance, Aseptic Technique, Patient Positioning, Equipment Handling",AICTE / Allied Health Sciences Councils,Diploma/B.Sc in OTT
IND-POL-001,Urban Planner (Town and Country Planner),Urban Development,Science,I,R,"Urban Design, GIS, Master Plan Preparation, Zoning Regulations, Smart Cities Mission, AutoCAD, Land Use Planning",TCPO / State Town Planning Depts,B.Plan or B.Arch + M.Plan
IND-POL-002,Social Welfare Officer (ICDS / Anganwadi Supervisor),Social Development,Arts,S,C,"Child Development, Nutrition, ICDS Scheme, Community Mobilisation, Record Keeping, Government Programme Monitoring",State WCD Department,Bachelor's in Social Work/Home Science
